Title,Authors,Year,Journal,Keywords,Abstract,DOI,Publication Type
Ethical considerations in AI for child health and recommendations for,"Chng, SY",2025,NPJ DIGITAL MEDICINE,,"There does not exist any previous comprehensive review on AI ethics in child health or any guidelines for management, unlike in adult medicine. This review describes ethical principles in AI for child health and provides recommendations for child-centered medical AI. We also introduce the Pediatrics EthicAl Recommendations List for AI (PEARL-AI) framework for clinicians and AI developers to ensure ethical AI enabled systems in healthcare for children.",10.1038/s41746-025-01541-1,J
Improving Explainability and Integrability of Medical AI to Promote,"Liu, YS",2025,JOURNAL OF MEDICAL INTERNET RESEARCH,artificial intelligence; explainability; integrability; healthcare,"Background: The integration of artificial intelligence (AI) in health care has significant potential, yet its acceptance by health care professionals (HCPs) is essential for successful implementation. Understanding HCPs' perspectives on the explainability and integrability of medical AI is crucial, as thesefactors influencetheir willingness to adopt and effectively use such technologies. Objective: This study aims to improve the acceptance and use of medical AI. From a user perspective, it explores HCPs' understanding of the explainability and integrability of medical AI. Methods: We performed a mixed systematic review by conducting a comprehensive search in the PubMed, Web of Science, Scopus, IEEE Xplore, and ACM Digital Library and arXiv databases for studiespublished between 2014 and 2024. Studies concerning an explanation or the integrability of medical AI were included. Study quality was assessed using the Joanna Briggs Institute critical appraisal checklistand Mixed MethodsAppraisal Tool, with only medium-or high-quality studies included. Qualitative data were analyzed via thematic analysis, while quantitative findings were synthesized narratively. Results: Out of 11,888 records initially retrieved, 22 (0.19%) studies met the inclusion criteria. All selected studies were published from 2020 onward, reflecting the recency and relevance of the topic. The majority (18/22, 82%) originated from high-incomecountries, and most(17/22,77%)adopted qualitative methodologies,withtheremainder(5/22,23%)usingquantitative or mixed method approaches. From the included studies, a conceptual framework was developed that delineates HCPs' perceptions of explainability and integrability. Regarding explainability, HCPs predominantly emphasized postprocessing explanations, particularly aspects of local explainability such as feature relevance and case-specific outputs. Visual tools that enhance the explainability of AI decisions (eg, heat maps and feature attribution) were frequently mentioned as important enablers of trust and acceptance. For integrability, key concerns included workflow adaptation, system compatibility with electronic health records, and overall ease of use. These aspects were consistently identified as primary conditions for real-world adoption. Conclusions:To foster wider adoption of AI in clinical settings, future system designs must center on the needs of HCPs. Enhancing post hoc explainability and ensuring seamless integration into existing workflows are critical to building trust and promoting sustained use. The proposed conceptual framework can serve as a practical guide for developers, researchers, and policy makers in aligning AI solutions with frontline user expectations. Trial Registration: PROSPERO CRD420250652253; https://www.crd.york.ac.uk/PROSPERO/view/CRD420250652253",10.2196/73374,J
Health Care Professionals' Concerns About Medical AI and Psychological,"Arvai, N",2025,JOURNAL OF MEDICAL INTERNET RESEARCH,artificial intelligence; attitudes; health care professionals; digital,"Background: The rapid progress in the development of artificial intelligence (AI) is having a substantial impact on health care (HC) delivery and the physician-patient interaction. Objective: This scoping review aims to offer a thorough analysis of the current status of integrating AI into medical practice as well as the apprehensions expressed by HC professionals (HCPs) over its application. Methods: This scoping review used the PRISMA-ScR (Preferred Reporting Items for Systematic Reviews and Meta-Analyses Extension for Scoping Reviews) guidelines to examine articles that investigated the apprehensions of HCPs about medical AI. Following the application of inclusion and exclusion criteria, 32 of an initial 217 studies (14.7%) were selected for the final analysis. We aimed to develop an attitude range that accurately captured the unfavorable emotions of HCPs toward medical AI. We achieved this by selecting attitudes and ranking them on a scale that represented the degree of aversion, ranging from mild skepticism to intense fear. The ultimate depiction of the scale was as follows: skepticism, reluctance, anxiety, resistance, and fear. Results: In total, 3 themes were identified through the process of thematic analysis. National surveys performed among HCPs aimed to comprehensively analyze their current emotions, worries, and attitudes regarding the integration of AI in the medical industry. Research on technostress primarily focused on the psychological dimensions of adopting AI, examining the emotional reactions, fears, and difficulties experienced by HCPs when they encountered AI-powered technology. The high-level perspective category included studies that took a broad and comprehensive approach to evaluating overarching themes, trends, and implications related to the integration of AI technology in HC. We discovered 15 sources of attitudes, which we classified into 2 distinct groups: intrinsic and extrinsic. The intrinsic group focused on HCPs' inherent professional identity, encompassing their tasks and capacities. Conversely, the extrinsic group pertained to their patients and the influence of AI on patient care. Next, we examined the shared themes and made suggestions to potentially tackle the problems discovered. Ultimately, we analyzed the results in relation to the attitude scale, assessing the degree to which each attitude was portrayed. Conclusions: The solution to addressing resistance toward medical AI appears to be centered on comprehensive education, the implementation of suitable legislation, and the delineation of roles. Addressing these issues may foster acceptance and optimize AI integration, enhancing HC delivery while maintaining ethical standards. Due to the current prominence and extensive research on regulation, we suggest that further research could be dedicated to education.",10.2196/66986,J
The generative era of medical AI,"Fahrner, LJ",2025,CELL,,"Rapid advancements in artificial intelligence (AI), particularly large language models (LLMs) and multimodal AI, are transforming medicine through enhancements in diagnostics, patient interaction, and medical forecasting. LLMs enable conversational interfaces, simplify medical reports, and assist clinicians with decision making. Multimodal AI integrates diverse data like images and genetic data for superior performance in pathology and medical screening. AI-driven tools promise proactive, personalized healthcare through continuous monitoring and multiscale forecasting. However, challenges like bias, privacy, regulatory hurdles, and integration into healthcare systems must be addressed for widespread clinical adoption.",10.1016/j.cell.2025.05.018,J
Enhancing medical AI with retrieval-augmented generation: A mini,"Gargari, OK",2025,DIGITAL HEALTH,Retrieval-augmented generation (RAG); large language models (LLMs);,"Retrieval-augmented generation (RAG) is a powerful technique in artificial intelligence (AI) and machine learning that enhances the capabilities of large language models (LLMs) by integrating external data sources, allowing for more accurate, contextually relevant responses. In medical applications, RAG has the potential to improve diagnostic accuracy, clinical decision support, and patient care. This narrative review explores the application of RAG across various medical domains, including guideline interpretation, diagnostic assistance, clinical trial eligibility screening, clinical information retrieval, and information extraction from scientific literature. Studies highlight the benefits of RAG in providing accurate, up-to-date information, improving clinical outcomes, and streamlining processes. Notable applications include GPT-4 models enhanced with RAG to interpret hepatologic guidelines, assist in differential diagnosis, and aid in clinical trial screening. Furthermore, RAG-based systems have demonstrated superior performance over traditional methods in tasks such as patient diagnosis, clinical decision-making, and medical information extraction. Despite its advantages, challenges remain, particularly in model evaluation, cost-efficiency, and reducing AI hallucinations. This review emphasizes the potential of RAG in advancing medical AI applications and advocates for further optimization of retrieval mechanisms, embedding models, and collaboration between AI researchers and healthcare professionals to maximize RAG's impact on medical practice.",10.1177/20552076251337177,J
A practical guide to the implementation of AI in orthopaedic,"Winkler, PW",2025,JOURNAL OF EXPERIMENTAL ORTHOPAEDICS,AI; certification; digitalization; future; healthcare; risk; safety;,"Artificial intelligence (AI) has been influencing healthcare and medical research for several years and will likely become indispensable in the near future. AI is intended to support healthcare professionals to make the healthcare system more efficient and ultimately improve patient outcomes. Despite the numerous benefits of AI systems, significant concerns remain. Errors in AI systems can pose serious risks to human health, underscoring the critical need for safety, as well as adherence to ethical and moral standards, before these technologies can be integrated into clinical practice. To address these challenges, the development, certification, and deployment of medical AI systems must adhere to strict and transparent regulations. The European Commission has already established a regulatory framework for AI systems by enacting the European Union Artificial Intelligence Act. This review article, part of an AI learning series, discusses key considerations for medical AI systems such as reliability, accuracy, trustworthiness, lawfulness and legal compliance, ethical and moral alignment, sustainability, and regulatory oversight.Level of EvidenceLevel V.",10.1002/jeo2.70247,J
Show and tell: A critical review on robustness and uncertainty for a,"Marconi, L",2025,INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,External validation; Uncertainty quantification; Uncertainty evaluation;,"This critical review explores two interrelated trends: the rapid increase in studies on machine learning (ML) applications within health informatics and the growing concerns about the reproducibility of these applications across different healthcare settings. Addressing these concerns necessitates acknowledging the uncertainty inherent in evaluating medical decision support systems. Therefore, we emphasize the importance of external validation and robustness assessment of the underlying ML models to better estimate their performance across diverse real-world scenarios. To raise awareness among health practitioners and ML researchers, we advocate for the widespread adoption of external validation practices and uncertainty quantification techniques. Our survey of specialized literature reveals that fewer than 4% of studies published in high-impact medical informatics journals over the past 13 years have validated their systems using data from settings different from those that provided the training data. This low percentage is incompatible with responsible research, given the potential risks posed by unreliable ML models in healthcare. Raising the standards for medical AI evaluation is crucial to improving practitioners' understanding of the potential and limitations of decision support systems in real-world settings. It is essential that uncertainty is not hidden in studies aimed at advancing knowledge in this field.",10.1016/j.ijmedinf.2025.105970,J
A perspective for adapting generalist AI to specialized medical AI,"Wang, ZF",2025,NPJ DIGITAL MEDICINE,,"We introduce a framework to adapt large language models for medicine: (1) Modeling: breaking down medical workflows into manageable steps; (2) Optimization: optimizing model performance via advanced adaptations; and (3) System engineering: developing agent or chain systems. Furthermore, we describe varied use cases, such as clinical trial design, clinical decision support, and medical imaging analysis. Finally, we discuss challenges and considerations for building medical AI with LLMs.",10.1038/s41746-025-01789-7,J
Legal and regulatory challenges in multi-country data-driven projects,"Niemiec, E",2025,EXPERT REVIEW OF MEDICAL DEVICES,General Data Protection Regulation; Medical Devices Regulation; AI Act;,"IntroductionMany legal and regulatory requirements need to be considered in projects developing medical AI systems. Their implementation may be challenging as both AI technology and some of the regulations are new.Areas coveredThis article examines the key legal challenges arising from the EU General Data Protection Regulation, Medical Devices Regulations, AI Act, as well as selected intellectual property issues in multi-partner projects developing medical AI systems, using an ongoing clinical validation study of such a device as a real-world exemplar.Expert opinionThe current regulatory landscape for medical AI system validation in Europe is complex, evolving, and presents some conflicting principles. Key areas that need to be addressed in future soft law instruments include data anonymization and interplay between the Medical Devices Regulation, AI Act, and General Data Protection Regulation. Policymakers should invest in regulatory science to ensure that regulatory frameworks are evidence-based and prioritize patient safety while fostering innovation.",10.1080/17434440.2025.2531295,J
Attribution-Based Explainability in Medical Imaging: A Critical Review,"Alam, KN",2025,ELECTRONICS,attribution; XCV; artificial intelligence; explainability; medical,"One of the largest future applications of computer vision is in the healthcare industry. Computer vision tasks are generally implemented in diverse medical imaging scenarios, including detecting or classifying diseases, predicting potential disease progression, analyzing cancer data for advancing future research, and conducting genetic analysis for personalized medicine. However, a critical drawback of using Computer Vision (CV) approaches is their limited reliability and transparency. Clinicians and patients must comprehend the rationale behind predictions or results to ensure trust and ethical deployment in clinical settings. This demonstrates the adoption of the idea of Explainable Computer Vision (X-CV), which enhances vision-relative interpretability. Among various methodologies, attribution-based approaches are widely employed by researchers to explain medical imaging outputs by identifying influential features. This article solely aims to explore how attribution-based X-CV methods work in medical imaging, what they are good for in real-world use, and what their main limitations are. This study evaluates X-CV techniques by conducting a thorough review of relevant reports, peer-reviewed journals, and methodological approaches to obtain an adequate understanding of attribution-based approaches. It explores how these techniques tackle computational complexity issues, improve diagnostic accuracy and aid clinical decision-making processes. This article intends to present a path that generalizes the concept of trustworthiness towards AI-based healthcare solutions.",10.3390/electronics14153024,J
